"SampleID";"PlantID";"Management";"Medium";"Organ";"FungalClass";"Count"
"Conventional_Commercial_Leaf_P2";"P2";"Conventional";"Commercial";"Leaf";"Eurotiomycetes";1
"Conventional_Commercial_Leaf_P3";"P3";"Conventional";"Commercial";"Leaf";"Eurotiomycetes";2
"Conventional_Commercial_Leaf_P4";"P4";"Conventional";"Commercial";"Leaf";"Eurotiomycetes";2
"Conventional_Commercial_Leaf_P5";"P5";"Conventional";"Commercial";"Leaf";"Eurotiomycetes";2
"Conventional_Natural_Leaf_P1";"P1";"Conventional";"Natural";"Leaf";"Eurotiomycetes";0
"Conventional_Natural_Leaf_P2";"P2";"Conventional";"Natural";"Leaf";"Eurotiomycetes";0
"Conventional_Natural_Leaf_P3";"P3";"Conventional";"Natural";"Leaf";"Eurotiomycetes";1
"Conventional_Natural_Leaf_P4";"P4";"Conventional";"Natural";"Leaf";"Eurotiomycetes";0
"Conventional_Natural_Leaf_P5";"P5";"Conventional";"Natural";"Leaf";"Eurotiomycetes";1
"Conventional_Commercial_Leaf_P1";"P1";"Conventional";"Commercial";"Leaf";"Mucoromycetes";0
"Conventional_Commercial_Leaf_P2";"P2";"Conventional";"Commercial";"Leaf";"Mucoromycetes";0
"Conventional_Commercial_Leaf_P3";"P3";"Conventional";"Commercial";"Leaf";"Mucoromycetes";0
"Conventional_Commercial_Leaf_P4";"P4";"Conventional";"Commercial";"Leaf";"Mucoromycetes";1
"Conventional_Commercial_Leaf_P5";"P5";"Conventional";"Commercial";"Leaf";"Mucoromycetes";0
"Conventional_Commercial_Leaf_P1";"P1";"Conventional";"Commercial";"Leaf";"Sordariomycetes";0
"Conventional_Commercial_Leaf_P2";"P2";"Conventional";"Commercial";"Leaf";"Sordariomycetes";0
"Conventional_Commercial_Leaf_P3";"P3";"Conventional";"Commercial";"Leaf";"Sordariomycetes";1
"Conventional_Commercial_Leaf_P4";"P4";"Conventional";"Commercial";"Leaf";"Sordariomycetes";1
"Conventional_Commercial_Leaf_P5";"P5";"Conventional";"Commercial";"Leaf";"Sordariomycetes";1
"Conventional_Natural_Leaf_P1";"P1";"Conventional";"Natural";"Leaf";"Xylonomycetes";0
"Conventional_Natural_Leaf_P2";"P2";"Conventional";"Natural";"Leaf";"Xylonomycetes";1
"Conventional_Natural_Leaf_P3";"P3";"Conventional";"Natural";"Leaf";"Xylonomycetes";0
"Conventional_Natural_Leaf_P4";"P4";"Conventional";"Natural";"Leaf";"Xylonomycetes";0
"Conventional_Natural_Leaf_P5";"P5";"Conventional";"Natural";"Leaf";"Xylonomycetes";0
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Dothideomycetes";2
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Dothideomycetes";1
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Dothideomycetes";1
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Dothideomycetes";1
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Dothideomycetes";1
"Conventional_Natural_Soil_P1";"P1";"Conventional";"Natural";"Soil";"Dothideomycetes";1
"Conventional_Natural_Soil_P2";"P2";"Conventional";"Natural";"Soil";"Dothideomycetes";0
"Conventional_Natural_Soil_P3";"P3";"Conventional";"Natural";"Soil";"Dothideomycetes";1
"Conventional_Natural_Soil_P4";"P4";"Conventional";"Natural";"Soil";"Dothideomycetes";0
"Conventional_Natural_Soil_P5";"P5";"Conventional";"Natural";"Soil";"Dothideomycetes";0
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Eurotiomycetes";4
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Eurotiomycetes";3
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Eurotiomycetes";3
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Eurotiomycetes";5
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Eurotiomycetes";6
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Mortierellomycetes";1
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Mortierellomycetes";0
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Mortierellomycetes";0
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Mortierellomycetes";0
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Mortierellomycetes";0
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Mucoromycetes";0
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Mucoromycetes";0
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Mucoromycetes";0
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Mucoromycetes";1
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Mucoromycetes";0
"Conventional_Commercial_Soil_P1";"P1";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Conventional_Commercial_Soil_P2";"P2";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Conventional_Commercial_Soil_P3";"P3";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Conventional_Commercial_Soil_P4";"P4";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Conventional_Commercial_Soil_P5";"P5";"Conventional";"Commercial";"Soil";"Sordariomycetes";1
"Organic_Commercial_Bark_P1";"P1";"Organic";"Commercial";"Bark";"Dothideomycetes";7
"Organic_Commercial_Bark_P2";"P2";"Organic";"Commercial";"Bark";"Dothideomycetes";2
"Organic_Commercial_Bark_P3";"P3";"Organic";"Commercial";"Bark";"Dothideomycetes";4
"Organic_Commercial_Bark_P4";"P4";"Organic";"Commercial";"Bark";"Dothideomycetes";4
"Organic_Commercial_Bark_P5";"P5";"Organic";"Commercial";"Bark";"Dothideomycetes";3
"Organic_Natural_Bark_P1";"P1";"Organic";"Natural";"Bark";"Dothideomycetes";0
"Organic_Natural_Bark_P2";"P2";"Organic";"Natural";"Bark";"Dothideomycetes";1
"Organic_Natural_Bark_P3";"P3";"Organic";"Natural";"Bark";"Dothideomycetes";1
"Organic_Natural_Bark_P4";"P4";"Organic";"Natural";"Bark";"Dothideomycetes";1
"Organic_Natural_Bark_P5";"P5";"Organic";"Natural";"Bark";"Dothideomycetes";1
"Organic_Commercial_Bark_P1";"P1";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P2";"P2";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P3";"P3";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P4";"P4";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P5";"P5";"Organic";"Commercial";"Bark";"Eurotiomycetes";1
"Organic_Commercial_Bark_P1";"P1";"Organic";"Commercial";"Bark";"Sordariomycetes";0
"Organic_Commercial_Bark_P2";"P2";"Organic";"Commercial";"Bark";"Sordariomycetes";0
"Organic_Commercial_Bark_P3";"P3";"Organic";"Commercial";"Bark";"Sordariomycetes";0
"Organic_Commercial_Bark_P4";"P4";"Organic";"Commercial";"Bark";"Sordariomycetes";0
"Organic_Commercial_Bark_P5";"P5";"Organic";"Commercial";"Bark";"Sordariomycetes";1
"Organic_Commercial_Grape_P1";"P1";"Organic";"Commercial";"Grape";"Dothideomycetes";9
"Organic_Commercial_Grape_P2";"P2";"Organic";"Commercial";"Grape";"Dothideomycetes";9
"Organic_Commercial_Grape_P3";"P3";"Organic";"Commercial";"Grape";"Dothideomycetes";7
"Organic_Commercial_Grape_P4";"P4";"Organic";"Commercial";"Grape";"Dothideomycetes";12
"Organic_Commercial_Grape_P5";"P5";"Organic";"Commercial";"Grape";"Dothideomycetes";11
"Organic_Natural_Grape_P1";"P1";"Organic";"Natural";"Grape";"Dothideomycetes";6
"Organic_Natural_Grape_P2";"P2";"Organic";"Natural";"Grape";"Dothideomycetes";7
"Organic_Natural_Grape_P3";"P3";"Organic";"Natural";"Grape";"Dothideomycetes";3
"Organic_Natural_Grape_P4";"P4";"Organic";"Natural";"Grape";"Dothideomycetes";6
"Organic_Natural_Grape_P5";"P5";"Organic";"Natural";"Grape";"Dothideomycetes";7
"Organic_Commercial_Grape_P1";"P1";"Organic";"Commercial";"Grape";"Eurotiomycetes";1
"Organic_Commercial_Grape_P2";"P2";"Organic";"Commercial";"Grape";"Eurotiomycetes";1
"Organic_Commercial_Grape_P3";"P3";"Organic";"Commercial";"Grape";"Eurotiomycetes";0
"Organic_Commercial_Grape_P4";"P4";"Organic";"Commercial";"Grape";"Eurotiomycetes";1
"Organic_Commercial_Grape_P5";"P5";"Organic";"Commercial";"Grape";"Eurotiomycetes";0
"Organic_Natural_Grape_P1";"P1";"Organic";"Natural";"Grape";"Eurotiomycetes";1
"Organic_Natural_Grape_P2";"P2";"Organic";"Natural";"Grape";"Eurotiomycetes";1
"Organic_Natural_Grape_P3";"P3";"Organic";"Natural";"Grape";"Eurotiomycetes";0
"Organic_Natural_Grape_P4";"P4";"Organic";"Natural";"Grape";"Eurotiomycetes";0
"Organic_Natural_Grape_P5";"P5";"Organic";"Natural";"Grape";"Eurotiomycetes";0
"Organic_Commercial_Grape_P1";"P1";"Organic";"Commercial";"Grape";"Mucoromycetes";1
"Organic_Commercial_Grape_P2";"P2";"Organic";"Commercial";"Grape";"Mucoromycetes";0
"Organic_Commercial_Grape_P3";"P3";"Organic";"Commercial";"Grape";"Mucoromycetes";0
"Organic_Commercial_Grape_P4";"P4";"Organic";"Commercial";"Grape";"Mucoromycetes";1
"Organic_Commercial_Grape_P5";"P5";"Organic";"Commercial";"Grape";"Mucoromycetes";0
"Organic_Commercial_Grape_P1";"P1";"Organic";"Commercial";"Grape";"Sordariomycetes";1
"Organic_Commercial_Grape_P2";"P2";"Organic";"Commercial";"Grape";"Sordariomycetes";0
"Organic_Commercial_Grape_P3";"P3";"Organic";"Commercial";"Grape";"Sordariomycetes";0
"Organic_Commercial_Grape_P4";"P4";"Organic";"Commercial";"Grape";"Sordariomycetes";0
"Organic_Commercial_Grape_P5";"P5";"Organic";"Commercial";"Grape";"Sordariomycetes";1
"Organic_Commercial_Leaf_P1";"P1";"Organic";"Commercial";"Leaf";"Dothideomycetes";5
"Organic_Commercial_Leaf_P2";"P2";"Organic";"Commercial";"Leaf";"Dothideomycetes";8
"Organic_Commercial_Leaf_P3";"P3";"Organic";"Commercial";"Leaf";"Dothideomycetes";3
"Organic_Commercial_Leaf_P4";"P4";"Organic";"Commercial";"Leaf";"Dothideomycetes";11
"Organic_Commercial_Leaf_P5";"P5";"Organic";"Commercial";"Leaf";"Dothideomycetes";15
"Organic_Natural_Leaf_P1";"P1";"Organic";"Natural";"Leaf";"Dothideomycetes";4
"Organic_Natural_Leaf_P2";"P2";"Organic";"Natural";"Leaf";"Dothideomycetes";4
"Organic_Natural_Leaf_P3";"P3";"Organic";"Natural";"Leaf";"Dothideomycetes";6
"Organic_Natural_Leaf_P4";"P4";"Organic";"Natural";"Leaf";"Dothideomycetes";3
"Organic_Natural_Leaf_P5";"P5";"Organic";"Natural";"Leaf";"Dothideomycetes";2
"Organic_Commercial_Leaf_P1";"P1";"Organic";"Commercial";"Leaf";"Eurotiomycetes";1
"Organic_Commercial_Leaf_P2";"P2";"Organic";"Commercial";"Leaf";"Eurotiomycetes";0
"Organic_Commercial_Leaf_P3";"P3";"Organic";"Commercial";"Leaf";"Eurotiomycetes";1
"Organic_Commercial_Leaf_P4";"P4";"Organic";"Commercial";"Leaf";"Eurotiomycetes";1
"Organic_Commercial_Leaf_P5";"P5";"Organic";"Commercial";"Leaf";"Eurotiomycetes";1
"Organic_Natural_Leaf_P1";"P1";"Organic";"Natural";"Leaf";"Eurotiomycetes";1
"Organic_Natural_Leaf_P2";"P2";"Organic";"Natural";"Leaf";"Eurotiomycetes";0
"Organic_Natural_Leaf_P3";"P3";"Organic";"Natural";"Leaf";"Eurotiomycetes";0
"Organic_Natural_Leaf_P4";"P4";"Organic";"Natural";"Leaf";"Eurotiomycetes";0
"Organic_Natural_Leaf_P5";"P5";"Organic";"Natural";"Leaf";"Eurotiomycetes";0
"Organic_Commercial_Leaf_P1";"P1";"Organic";"Commercial";"Leaf";"Leotiomycetes";1
"Organic_Commercial_Leaf_P2";"P2";"Organic";"Commercial";"Leaf";"Leotiomycetes";0
"Organic_Commercial_Leaf_P3";"P3";"Organic";"Commercial";"Leaf";"Leotiomycetes";1
"Organic_Commercial_Leaf_P4";"P4";"Organic";"Commercial";"Leaf";"Leotiomycetes";0
"Organic_Commercial_Leaf_P5";"P5";"Organic";"Commercial";"Leaf";"Leotiomycetes";1
"Organic_Commercial_Soil_P1";"P1";"Organic";"Commercial";"Soil";"Dothideomycetes";1
"Organic_Commercial_Soil_P2";"P2";"Organic";"Commercial";"Soil";"Dothideomycetes";1
"Organic_Commercial_Soil_P3";"P3";"Organic";"Commercial";"Soil";"Dothideomycetes";0
"Organic_Commercial_Soil_P4";"P4";"Organic";"Commercial";"Soil";"Dothideomycetes";1
"Organic_Commercial_Soil_P5";"P5";"Organic";"Commercial";"Soil";"Dothideomycetes";0
"Organic_Natural_Soil_P1";"P1";"Organic";"Natural";"Soil";"Dothideomycetes";2
"Organic_Natural_Soil_P2";"P2";"Organic";"Natural";"Soil";"Dothideomycetes";2
"Organic_Natural_Soil_P3";"P3";"Organic";"Natural";"Soil";"Dothideomycetes";1
"Organic_Natural_Soil_P4";"P4";"Organic";"Natural";"Soil";"Dothideomycetes";2
"Organic_Natural_Soil_P5";"P5";"Organic";"Natural";"Soil";"Dothideomycetes";1
"Organic_Commercial_Soil_P1";"P1";"Organic";"Commercial";"Soil";"Eurotiomycetes";4
"Organic_Commercial_Soil_P2";"P2";"Organic";"Commercial";"Soil";"Eurotiomycetes";8
"Organic_Commercial_Soil_P3";"P3";"Organic";"Commercial";"Soil";"Eurotiomycetes";4
"Organic_Commercial_Soil_P4";"P4";"Organic";"Commercial";"Soil";"Eurotiomycetes";6
"Organic_Commercial_Soil_P5";"P5";"Organic";"Commercial";"Soil";"Eurotiomycetes";5
"Organic_Natural_Soil_P1";"P1";"Organic";"Natural";"Soil";"Eurotiomycetes";1
"Organic_Natural_Soil_P2";"P2";"Organic";"Natural";"Soil";"Eurotiomycetes";1
"Organic_Natural_Soil_P3";"P3";"Organic";"Natural";"Soil";"Eurotiomycetes";1
"Organic_Natural_Soil_P4";"P4";"Organic";"Natural";"Soil";"Eurotiomycetes";2
"Organic_Natural_Soil_P5";"P5";"Organic";"Natural";"Soil";"Eurotiomycetes";2
"Organic_Commercial_Soil_P1";"P1";"Organic";"Commercial";"Soil";"Mucoromycetes";1
"Organic_Commercial_Soil_P2";"P2";"Organic";"Commercial";"Soil";"Mucoromycetes";1
"Organic_Commercial_Soil_P3";"P3";"Organic";"Commercial";"Soil";"Mucoromycetes";0
"Organic_Commercial_Soil_P4";"P4";"Organic";"Commercial";"Soil";"Mucoromycetes";1
"Organic_Commercial_Soil_P5";"P5";"Organic";"Commercial";"Soil";"Mucoromycetes";1
"Organic_Commercial_Soil_P1";"P1";"Organic";"Commercial";"Soil";"Sordariomycetes";1
"Organic_Commercial_Soil_P2";"P2";"Organic";"Commercial";"Soil";"Sordariomycetes";0
"Organic_Commercial_Soil_P3";"P3";"Organic";"Commercial";"Soil";"Sordariomycetes";0
"Organic_Commercial_Soil_P4";"P4";"Organic";"Commercial";"Soil";"Sordariomycetes";1
"Organic_Commercial_Soil_P5";"P5";"Organic";"Commercial";"Soil";"Sordariomycetes";1
"Organic_Natural_Soil_P1";"P1";"Organic";"Natural";"Soil";"Sordariomycetes";1
"Organic_Natural_Soil_P2";"P2";"Organic";"Natural";"Soil";"Sordariomycetes";2
"Organic_Natural_Soil_P3";"P3";"Organic";"Natural";"Soil";"Sordariomycetes";1
"Organic_Natural_Soil_P4";"P4";"Organic";"Natural";"Soil";"Sordariomycetes";1
"Organic_Natural_Soil_P5";"P5";"Organic";"Natural";"Soil";"Sordariomycetes";1
"Wild_Commercial_Bark_P1";"P1";"Wild";"Commercial";"Bark";"Dothideomycetes";16
"Wild_Commercial_Bark_P2";"P2";"Wild";"Commercial";"Bark";"Dothideomycetes";7
"Wild_Commercial_Bark_P3";"P3";"Wild";"Commercial";"Bark";"Dothideomycetes";11
"Wild_Commercial_Bark_P4";"P4";"Wild";"Commercial";"Bark";"Dothideomycetes";13
"Wild_Commercial_Bark_P5";"P5";"Wild";"Commercial";"Bark";"Dothideomycetes";9
"Wild_Natural_Bark_P1";"P1";"Wild";"Natural";"Bark";"Dothideomycetes";7
"Wild_Natural_Bark_P2";"P2";"Wild";"Natural";"Bark";"Dothideomycetes";7
"Wild_Natural_Bark_P3";"P3";"Wild";"Natural";"Bark";"Dothideomycetes";4
"Wild_Natural_Bark_P4";"P4";"Wild";"Natural";"Bark";"Dothideomycetes";11
"Wild_Natural_Bark_P5";"P5";"Wild";"Natural";"Bark";"Dothideomycetes";17
"Wild_Natural_Bark_P1";"P1";"Wild";"Natural";"Bark";"Eurotiomycetes";1
"Wild_Natural_Bark_P2";"P2";"Wild";"Natural";"Bark";"Eurotiomycetes";1
"Wild_Natural_Bark_P3";"P3";"Wild";"Natural";"Bark";"Eurotiomycetes";1
"Wild_Natural_Bark_P4";"P4";"Wild";"Natural";"Bark";"Eurotiomycetes";1
"Wild_Natural_Bark_P5";"P5";"Wild";"Natural";"Bark";"Eurotiomycetes";1
"Wild_Natural_Bark_P1";"P1";"Wild";"Natural";"Bark";"Sordariomycetes";1
"Wild_Natural_Bark_P2";"P2";"Wild";"Natural";"Bark";"Sordariomycetes";0
"Wild_Natural_Bark_P3";"P3";"Wild";"Natural";"Bark";"Sordariomycetes";0
"Wild_Natural_Bark_P4";"P4";"Wild";"Natural";"Bark";"Sordariomycetes";0
"Wild_Natural_Bark_P5";"P5";"Wild";"Natural";"Bark";"Sordariomycetes";1
"Wild_Commercial_Grape_P1";"P1";"Wild";"Commercial";"Grape";"Dothideomycetes";2
"Wild_Commercial_Grape_P2";"P2";"Wild";"Commercial";"Grape";"Dothideomycetes";2
"Wild_Commercial_Grape_P3";"P3";"Wild";"Commercial";"Grape";"Dothideomycetes";2
"Wild_Commercial_Grape_P4";"P4";"Wild";"Commercial";"Grape";"Dothideomycetes";3
"Wild_Commercial_Grape_P5";"P5";"Wild";"Commercial";"Grape";"Dothideomycetes";2
"Wild_Natural_Grape_P1";"P1";"Wild";"Natural";"Grape";"Dothideomycetes";1
"Wild_Natural_Grape_P2";"P2";"Wild";"Natural";"Grape";"Dothideomycetes";1
"Wild_Natural_Grape_P3";"P3";"Wild";"Natural";"Grape";"Dothideomycetes";3
"Wild_Natural_Grape_P4";"P4";"Wild";"Natural";"Grape";"Dothideomycetes";2
"Wild_Natural_Grape_P5";"P5";"Wild";"Natural";"Grape";"Dothideomycetes";2
"Wild_Natural_Grape_P1";"P1";"Wild";"Natural";"Grape";"Eurotiomycetes";0
"Wild_Natural_Grape_P2";"P2";"Wild";"Natural";"Grape";"Eurotiomycetes";1
"Wild_Natural_Grape_P3";"P3";"Wild";"Natural";"Grape";"Eurotiomycetes";0
"Wild_Natural_Grape_P4";"P4";"Wild";"Natural";"Grape";"Eurotiomycetes";0
"Wild_Natural_Grape_P5";"P5";"Wild";"Natural";"Grape";"Eurotiomycetes";0
"Wild_Natural_Grape_P1";"P1";"Wild";"Natural";"Grape";"Sordariomycetes";1
"Wild_Natural_Grape_P2";"P2";"Wild";"Natural";"Grape";"Sordariomycetes";1
"Wild_Natural_Grape_P3";"P3";"Wild";"Natural";"Grape";"Sordariomycetes";0
"Wild_Natural_Grape_P4";"P4";"Wild";"Natural";"Grape";"Sordariomycetes";1
"Wild_Natural_Grape_P5";"P5";"Wild";"Natural";"Grape";"Sordariomycetes";0
"Wild_Commercial_Leaf_P1";"P1";"Wild";"Commercial";"Leaf";"Dothideomycetes";4
"Wild_Commercial_Leaf_P2";"P2";"Wild";"Commercial";"Leaf";"Dothideomycetes";4
"Wild_Commercial_Leaf_P3";"P3";"Wild";"Commercial";"Leaf";"Dothideomycetes";6
"Wild_Commercial_Leaf_P4";"P4";"Wild";"Commercial";"Leaf";"Dothideomycetes";6
"Wild_Commercial_Leaf_P5";"P5";"Wild";"Commercial";"Leaf";"Dothideomycetes";3
"Wild_Natural_Leaf_P1";"P1";"Wild";"Natural";"Leaf";"Dothideomycetes";1
"Wild_Natural_Leaf_P2";"P2";"Wild";"Natural";"Leaf";"Dothideomycetes";0
"Wild_Natural_Leaf_P3";"P3";"Wild";"Natural";"Leaf";"Dothideomycetes";0
"Wild_Natural_Leaf_P4";"P4";"Wild";"Natural";"Leaf";"Dothideomycetes";0
"Wild_Natural_Leaf_P5";"P5";"Wild";"Natural";"Leaf";"Dothideomycetes";0
"Wild_Natural_Leaf_P1";"P1";"Wild";"Natural";"Leaf";"Sordariomycetes";1
"Wild_Natural_Leaf_P2";"P2";"Wild";"Natural";"Leaf";"Sordariomycetes";0
"Wild_Natural_Leaf_P3";"P3";"Wild";"Natural";"Leaf";"Sordariomycetes";0
"Wild_Natural_Leaf_P4";"P4";"Wild";"Natural";"Leaf";"Sordariomycetes";0
