SampleID;PlantID;Management;Medium;Organ;FungalClass;Count
Leaf_P4;P4;Conventional;Commercial;Leaf;Eurotiomycetes;2
Leaf_P5;P5;Conventional;Commercial;Leaf;Eurotiomycetes;2
Leaf_P1;P1;Conventional;Natural;Leaf;Eurotiomycetes;0
Leaf_P2;P2;Conventional;Natural;Leaf;Eurotiomycetes;0
Leaf_P3;P3;Conventional;Natural;Leaf;Eurotiomycetes;1
Leaf_P4;P4;Conventional;Natural;Leaf;Eurotiomycetes;0
Leaf_P5;P5;Conventional;Natural;Leaf;Eurotiomycetes;1
Leaf_P1;P1;Conventional;Commercial;Leaf;Mucoromycetes;0
Leaf_P2;P2;Conventional;Commercial;Leaf;Mucoromycetes;0
Leaf_P3;P3;Conventional;Commercial;Leaf;Mucoromycetes;0
Leaf_P4;P4;Conventional;Commercial;Leaf;Mucoromycetes;1
Leaf_P5;P5;Conventional;Commercial;Leaf;Mucoromycetes;0
Leaf_P1;P1;Conventional;Commercial;Leaf;Sordariomycetes;0
Leaf_P2;P2;Conventional;Commercial;Leaf;Sordariomycetes;0
Leaf_P3;P3;Conventional;Commercial;Leaf;Sordariomycetes;1
Leaf_P4;P4;Conventional;Commercial;Leaf;Sordariomycetes;1
Leaf_P5;P5;Conventional;Commercial;Leaf;Sordariomycetes;1
Leaf_P1;P1;Conventional;Natural;Leaf;Xylonomycetes;0
Leaf_P2;P2;Conventional;Natural;Leaf;Xylonomycetes;1
Leaf_P3;P3;Conventional;Natural;Leaf;Xylonomycetes;0
Leaf_P4;P4;Conventional;Natural;Leaf;Xylonomycetes;0
Leaf_P5;P5;Conventional;Natural;Leaf;Xylonomycetes;0
Soil_P1;P1;Conventional;Commercial;Soil;Dothideomycetes;2
Soil_P2;P2;Conventional;Commercial;Soil;Dothideomycetes;1
Soil_P3;P3;Conventional;Commercial;Soil;Dothideomycetes;1
Soil_P4;P4;Conventional;Commercial;Soil;Dothideomycetes;1
Soil_P5;P5;Conventional;Commercial;Soil;Dothideomycetes;1
Soil_P1;P1;Conventional;Natural;Soil;Dothideomycetes;1
Soil_P2;P2;Conventional;Natural;Soil;Dothideomycetes;0
Soil_P3;P3;Conventional;Natural;Soil;Dothideomycetes;1
Soil_P4;P4;Conventional;Natural;Soil;Dothideomycetes;0
Soil_P5;P5;Conventional;Natural;Soil;Dothideomycetes;0
Soil_P1;P1;Conventional;Commercial;Soil;Eurotiomycetes;4
Soil_P2;P2;Conventional;Commercial;Soil;Eurotiomycetes;3
Soil_P3;P3;Conventional;Commercial;Soil;Eurotiomycetes;3
Soil_P4;P4;Conventional;Commercial;Soil;Eurotiomycetes;5
Soil_P5;P5;Conventional;Commercial;Soil;Eurotiomycetes;6
Soil_P1;P1;Conventional;Commercial;Soil;Mortierellomycetes;1
Soil_P2;P2;Conventional;Commercial;Soil;Mortierellomycetes;0
Soil_P3;P3;Conventional;Commercial;Soil;Mortierellomycetes;0
Soil_P4;P4;Conventional;Commercial;Soil;Mortierellomycetes;0
Soil_P5;P5;Conventional;Commercial;Soil;Mortierellomycetes;0
Soil_P1;P1;Conventional;Commercial;Soil;Mucoromycetes;0
Soil_P2;P2;Conventional;Commercial;Soil;Mucoromycetes;0
Soil_P3;P3;Conventional;Commercial;Soil;Mucoromycetes;0
Soil_P4;P4;Conventional;Commercial;Soil;Mucoromycetes;1
Soil_P5;P5;Conventional;Commercial;Soil;Mucoromycetes;0
Soil_P1;P1;Conventional;Commercial;Soil;Sordariomycetes;1
Soil_P2;P2;Conventional;Commercial;Soil;Sordariomycetes;1
Soil_P3;P3;Conventional;Commercial;Soil;Sordariomycetes;1
Soil_P4;P4;Conventional;Commercial;Soil;Sordariomycetes;1
Soil_P5;P5;Conventional;Commercial;Soil;Sordariomycetes;1
Bark_P1;P1;Organic;Commercial;Bark;Dothideomycetes;7
Bark_P2;P2;Organic;Commercial;Bark;Dothideomycetes;2
Bark_P3;P3;Organic;Commercial;Bark;Dothideomycetes;4
Bark_P4;P4;Organic;Commercial;Bark;Dothideomycetes;4
Bark_P5;P5;Organic;Commercial;Bark;Dothideomycetes;3
Bark_P1;P1;Organic;Natural;Bark;Dothideomycetes;0
Bark_P2;P2;Organic;Natural;Bark;Dothideomycetes;1
Bark_P3;P3;Organic;Natural;Bark;Dothideomycetes;1
Bark_P4;P4;Organic;Natural;Bark;Dothideomycetes;1
Bark_P5;P5;Organic;Natural;Bark;Dothideomycetes;1
Bark_P1;P1;Organic;Commercial;Bark;Eurotiomycetes;1
Bark_P2;P2;Organic;Commercial;Bark;Eurotiomycetes;1
Bark_P3;P3;Organic;Commercial;Bark;Eurotiomycetes;1
Bark_P4;P4;Organic;Commercial;Bark;Eurotiomycetes;1
Bark_P5;P5;Organic;Commercial;Bark;Eurotiomycetes;1
Bark_P1;P1;Organic;Commercial;Bark;Sordariomycetes;0
Bark_P2;P2;Organic;Commercial;Bark;Sordariomycetes;0
Bark_P3;P3;Organic;Commercial;Bark;Sordariomycetes;0
Bark_P4;P4;Organic;Commercial;Bark;Sordariomycetes;0
Bark_P5;P5;Organic;Commercial;Bark;Sordariomycetes;1
Grape_P1;P1;Organic;Commercial;Grape;Dothideomycetes;9
Grape_P2;P2;Organic;Commercial;Grape;Dothideomycetes;9
Grape_P3;P3;Organic;Commercial;Grape;Dothideomycetes;7
Grape_P4;P4;Organic;Commercial;Grape;Dothideomycetes;12
Grape_P5;P5;Organic;Commercial;Grape;Dothideomycetes;11
Grape_P1;P1;Organic;Natural;Grape;Dothideomycetes;6
Grape_P2;P2;Organic;Natural;Grape;Dothideomycetes;7
Grape_P3;P3;Organic;Natural;Grape;Dothideomycetes;3
Grape_P4;P4;Organic;Natural;Grape;Dothideomycetes;6
Grape_P5;P5;Organic;Natural;Grape;Dothideomycetes;7
Grape_P1;P1;Organic;Commercial;Grape;Eurotiomycetes;1
Grape_P2;P2;Organic;Commercial;Grape;Eurotiomycetes;1
Grape_P3;P3;Organic;Commercial;Grape;Eurotiomycetes;0
Grape_P4;P4;Organic;Commercial;Grape;Eurotiomycetes;1
Grape_P5;P5;Organic;Commercial;Grape;Eurotiomycetes;0
Grape_P1;P1;Organic;Natural;Grape;Eurotiomycetes;1
Grape_P2;P2;Organic;Natural;Grape;Eurotiomycetes;1
Grape_P3;P3;Organic;Natural;Grape;Eurotiomycetes;0
Grape_P4;P4;Organic;Natural;Grape;Eurotiomycetes;0
Grape_P5;P5;Organic;Natural;Grape;Eurotiomycetes;0
Grape_P1;P1;Organic;Commercial;Grape;Mucoromycetes;1
Grape_P2;P2;Organic;Commercial;Grape;Mucoromycetes;0
Grape_P3;P3;Organic;Commercial;Grape;Mucoromycetes;0
Grape_P4;P4;Organic;Commercial;Grape;Mucoromycetes;1
Grape_P5;P5;Organic;Commercial;Grape;Mucoromycetes;0
Grape_P1;P1;Organic;Commercial;Grape;Sordariomycetes;1
Grape_P2;P2;Organic;Commercial;Grape;Sordariomycetes;0
Grape_P3;P3;Organic;Commercial;Grape;Sordariomycetes;0
Grape_P4;P4;Organic;Commercial;Grape;Sordariomycetes;0
Grape_P5;P5;Organic;Commercial;Grape;Sordariomycetes;1
Leaf_P1;P1;Organic;Commercial;Leaf;Dothideomycetes;5
Leaf_P2;P2;Organic;Commercial;Leaf;Dothideomycetes;8
Leaf_P3;P3;Organic;Commercial;Leaf;Dothideomycetes;3
Leaf_P4;P4;Organic;Commercial;Leaf;Dothideomycetes;11
Leaf_P5;P5;Organic;Commercial;Leaf;Dothideomycetes;15
Leaf_P1;P1;Organic;Natural;Leaf;Dothideomycetes;4
Leaf_P2;P2;Organic;Natural;Leaf;Dothideomycetes;4
Leaf_P3;P3;Organic;Natural;Leaf;Dothideomycetes;6
Leaf_P4;P4;Organic;Natural;Leaf;Dothideomycetes;3
Leaf_P5;P5;Organic;Natural;Leaf;Dothideomycetes;2
Leaf_P1;P1;Organic;Commercial;Leaf;Eurotiomycetes;1
Leaf_P2;P2;Organic;Commercial;Leaf;Eurotiomycetes;0
Leaf_P3;P3;Organic;Commercial;Leaf;Eurotiomycetes;1
Leaf_P4;P4;Organic;Commercial;Leaf;Eurotiomycetes;1
Leaf_P5;P5;Organic;Commercial;Leaf;Eurotiomycetes;1
Leaf_P1;P1;Organic;Natural;Leaf;Eurotiomycetes;1
Leaf_P2;P2;Organic;Natural;Leaf;Eurotiomycetes;0
Leaf_P3;P3;Organic;Natural;Leaf;Eurotiomycetes;0
Leaf_P4;P4;Organic;Natural;Leaf;Eurotiomycetes;0
Leaf_P5;P5;Organic;Natural;Leaf;Eurotiomycetes;0
Leaf_P1;P1;Organic;Commercial;Leaf;Leotiomycetes;1
Leaf_P2;P2;Organic;Commercial;Leaf;Leotiomycetes;0
Leaf_P3;P3;Organic;Commercial;Leaf;Leotiomycetes;1
Leaf_P4;P4;Organic;Commercial;Leaf;Leotiomycetes;0
Leaf_P5;P5;Organic;Commercial;Leaf;Leotiomycetes;1
Soil_P1;P1;Organic;Commercial;Soil;Dothideomycetes;1
Soil_P2;P2;Organic;Commercial;Soil;Dothideomycetes;1
Soil_P3;P3;Organic;Commercial;Soil;Dothideomycetes;0
Soil_P4;P4;Organic;Commercial;Soil;Dothideomycetes;1
Soil_P5;P5;Organic;Commercial;Soil;Dothideomycetes;0
Soil_P1;P1;Organic;Natural;Soil;Dothideomycetes;2
Soil_P2;P2;Organic;Natural;Soil;Dothideomycetes;2
Soil_P3;P3;Organic;Natural;Soil;Dothideomycetes;1
Soil_P4;P4;Organic;Natural;Soil;Dothideomycetes;2
Soil_P5;P5;Organic;Natural;Soil;Dothideomycetes;1
Soil_P1;P1;Organic;Commercial;Soil;Eurotiomycetes;4
Soil_P2;P2;Organic;Commercial;Soil;Eurotiomycetes;8
Soil_P3;P3;Organic;Commercial;Soil;Eurotiomycetes;4
Soil_P4;P4;Organic;Commercial;Soil;Eurotiomycetes;6
Soil_P5;P5;Organic;Commercial;Soil;Eurotiomycetes;5
Soil_P1;P1;Organic;Natural;Soil;Eurotiomycetes;1
Soil_P2;P2;Organic;Natural;Soil;Eurotiomycetes;1
Soil_P3;P3;Organic;Natural;Soil;Eurotiomycetes;1
Soil_P4;P4;Organic;Natural;Soil;Eurotiomycetes;2
Soil_P5;P5;Organic;Natural;Soil;Eurotiomycetes;2
Soil_P1;P1;Organic;Commercial;Soil;Mucoromycetes;1
Soil_P2;P2;Organic;Commercial;Soil;Mucoromycetes;1
Soil_P3;P3;Organic;Commercial;Soil;Mucoromycetes;0
Soil_P4;P4;Organic;Commercial;Soil;Mucoromycetes;1
Soil_P5;P5;Organic;Commercial;Soil;Mucoromycetes;1
Soil_P1;P1;Organic;Commercial;Soil;Sordariomycetes;1
Soil_P2;P2;Organic;Commercial;Soil;Sordariomycetes;0
Soil_P3;P3;Organic;Commercial;Soil;Sordariomycetes;0
Soil_P4;P4;Organic;Commercial;Soil;Sordariomycetes;1
Soil_P5;P5;Organic;Commercial;Soil;Sordariomycetes;1
Soil_P1;P1;Organic;Natural;Soil;Sordariomycetes;1
Soil_P2;P2;Organic;Natural;Soil;Sordariomycetes;2
Soil_P3;P3;Organic;Natural;Soil;Sordariomycetes;1
Soil_P4;P4;Organic;Natural;Soil;Sordariomycetes;1
Soil_P5;P5;Organic;Natural;Soil;Sordariomycetes;1
Bark_P1;P1;Wild;Commercial;Bark;Dothideomycetes;16
Bark_P2;P2;Wild;Commercial;Bark;Dothideomycetes;7
Bark_P3;P3;Wild;Commercial;Bark;Dothideomycetes;11
Bark_P4;P4;Wild;Commercial;Bark;Dothideomycetes;13
Bark_P5;P5;Wild;Commercial;Bark;Dothideomycetes;9
Bark_P1;P1;Wild;Natural;Bark;Dothideomycetes;7
Bark_P2;P2;Wild;Natural;Bark;Dothideomycetes;7
Bark_P3;P3;Wild;Natural;Bark;Dothideomycetes;4
Bark_P4;P4;Wild;Natural;Bark;Dothideomycetes;11
Bark_P5;P5;Wild;Natural;Bark;Dothideomycetes;17
Bark_P1;P1;Wild;Natural;Bark;Eurotiomycetes;1
Bark_P2;P2;Wild;Natural;Bark;Eurotiomycetes;1
Bark_P3;P3;Wild;Natural;Bark;Eurotiomycetes;1
Bark_P4;P4;Wild;Natural;Bark;Eurotiomycetes;1
Bark_P5;P5;Wild;Natural;Bark;Eurotiomycetes;1
Bark_P1;P1;Wild;Natural;Bark;Sordariomycetes;1
Bark_P2;P2;Wild;Natural;Bark;Sordariomycetes;0
Bark_P3;P3;Wild;Natural;Bark;Sordariomycetes;0
Bark_P4;P4;Wild;Natural;Bark;Sordariomycetes;0
Bark_P5;P5;Wild;Natural;Bark;Sordariomycetes;1
Grape_P1;P1;Wild;Commercial;Grape;Dothideomycetes;2
Grape_P2;P2;Wild;Commercial;Grape;Dothideomycetes;2
Grape_P3;P3;Wild;Commercial;Grape;Dothideomycetes;2
Grape_P4;P4;Wild;Commercial;Grape;Dothideomycetes;3
Grape_P5;P5;Wild;Commercial;Grape;Dothideomycetes;2
Grape_P1;P1;Wild;Natural;Grape;Dothideomycetes;1
Grape_P2;P2;Wild;Natural;Grape;Dothideomycetes;1
Grape_P3;P3;Wild;Natural;Grape;Dothideomycetes;3
Grape_P4;P4;Wild;Natural;Grape;Dothideomycetes;2
Grape_P5;P5;Wild;Natural;Grape;Dothideomycetes;2
Grape_P1;P1;Wild;Natural;Grape;Eurotiomycetes;0
Grape_P2;P2;Wild;Natural;Grape;Eurotiomycetes;1
Grape_P3;P3;Wild;Natural;Grape;Eurotiomycetes;0
Grape_P4;P4;Wild;Natural;Grape;Eurotiomycetes;0
Grape_P5;P5;Wild;Natural;Grape;Eurotiomycetes;0
Grape_P1;P1;Wild;Natural;Grape;Sordariomycetes;1
Grape_P2;P2;Wild;Natural;Grape;Sordariomycetes;1
Grape_P3;P3;Wild;Natural;Grape;Sordariomycetes;0
Grape_P4;P4;Wild;Natural;Grape;Sordariomycetes;1
Grape_P5;P5;Wild;Natural;Grape;Sordariomycetes;0
Leaf_P1;P1;Wild;Commercial;Leaf;Dothideomycetes;4
Leaf_P2;P2;Wild;Commercial;Leaf;Dothideomycetes;4
Leaf_P3;P3;Wild;Commercial;Leaf;Dothideomycetes;6
Leaf_P4;P4;Wild;Commercial;Leaf;Dothideomycetes;6
Leaf_P5;P5;Wild;Commercial;Leaf;Dothideomycetes;3
Leaf_P1;P1;Wild;Natural;Leaf;Dothideomycetes;1
Leaf_P2;P2;Wild;Natural;Leaf;Dothideomycetes;0
Leaf_P3;P3;Wild;Natural;Leaf;Dothideomycetes;0
Leaf_P4;P4;Wild;Natural;Leaf;Dothideomycetes;0
Leaf_P5;P5;Wild;Natural;Leaf;Dothideomycetes;0
Leaf_P1;P1;Wild;Natural;Leaf;Sordariomycetes;1
Leaf_P2;P2;Wild;Natural;Leaf;Sordariomycetes;0
Leaf_P3;P3;Wild;Natural;Leaf;Sordariomycetes;0
Leaf_P4;P4;Wild;Natural;Leaf;Sordariomycetes;0
Leaf_P5;P5;Wild;Natural;Leaf;Sordariomycetes;0
Leaf_P1;P1;Wild;Natural;Leaf;Eurotiomycetes;0
Leaf_P2;P2;Wild;Natural;Leaf;Eurotiomycetes;0
Leaf_P3;P3;Wild;Natural;Leaf;Eurotiomycetes;0
Leaf_P4;P4;Wild;Natural;Leaf;Eurotiomycetes;0
Leaf_P5;P5;Wild;Natural;Leaf;Eurotiomycetes;1
Soil_P1;P1;Wild;Commercial;Soil;Dothideomycetes;1
Soil_P2;P2;Wild;Commercial;Soil;Dothideomycetes;4
Soil_P3;P3;Wild;Commercial;Soil;Dothideomycetes;3
Soil_P4;P4;Wild;Commercial;Soil;Dothideomycetes;5
Soil_P5;P5;Wild;Commercial;Soil;Dothideomycetes;4
Soil_P1;P1;Wild;Natural;Soil;Dothideomycetes;0
Soil_P2;P2;Wild;Natural;Soil;Dothideomycetes;1
Soil_P3;P3;Wild;Natural;Soil;Dothideomycetes;1
Soil_P4;P4;Wild;Natural;Soil;Dothideomycetes;1
Soil_P5;P5;Wild;Natural;Soil;Dothideomycetes;0
Soil_P1;P1;Wild;Commercial;Soil;Eurotiomycetes;1
Soil_P2;P2;Wild;Commercial;Soil;Eurotiomycetes;2
Soil_P3;P3;Wild;Commercial;Soil;Eurotiomycetes;1
Soil_P4;P4;Wild;Commercial;Soil;Eurotiomycetes;3
Soil_P5;P5;Wild;Commercial;Soil;Eurotiomycetes;3
Soil_P1;P1;Wild;Natural;Soil;Eurotiomycetes;1
Soil_P2;P2;Wild;Natural;Soil;Eurotiomycetes;1
Soil_P3;P3;Wild;Natural;Soil;Eurotiomycetes;1
Soil_P4;P4;Wild;Natural;Soil;Eurotiomycetes;2
Soil_P5;P5;Wild;Natural;Soil;Eurotiomycetes;2
Soil_P1;P1;Wild;Commercial;Soil;Leotiomycetes;0
Soil_P2;P2;Wild;Commercial;Soil;Leotiomycetes;0
Soil_P3;P3;Wild;Commercial;Soil;Leotiomycetes;0
Soil_P4;P4;Wild;Commercial;Soil;Leotiomycetes;1
Soil_P5;P5;Wild;Commercial;Soil;Leotiomycetes;0
Soil_P1;P1;Wild;Natural;Soil;Sordariomycetes;0
Soil_P2;P2;Wild;Natural;Soil;Sordariomycetes;1
Soil_P3;P3;Wild;Natural;Soil;Sordariomycetes;0
Soil_P4;P4;Wild;Natural;Soil;Sordariomycetes;1
Soil_P5;P5;Wild;Natural;Soil;Sordariomycetes;1
